
[node 1]
ram_reads = 0
ram_writes = 0
ssd_reads = 0
ssd_writes = 0
hdd_reads = 0
hdd_writes = 0
cache_hits = 356997
cache_misses = 557148
cache_replacements = 556148
cache status --------------------------------
ARC cache size = 1000
p = 47, |L1| = 1000, |L2| = 1000
[  207] 0, 39112, 3
[  974] 0, 47, 3
[   49] 0, 48, 3
[ 1926] 0, 2291, 3
[  701] 0, 185647, 3
[ 1928] 0, 2340, 3
[   21] 0, 552, 3
[  742] 0, 180322, 3
[  855] 0, 1573, 3
[ 1068] 0, 186006, 3
[ 1034] 0, 186013, 3
[  428] 0, 1435, 3
[  540] 0, 56516, 3
[ 1285] 0, 56502, 3
[  990] 0, 170611, 3
[ 1031] 0, 233, 3
[ 1243] 0, 240, 3
[ 1342] 0, 180325, 3
[  276] 0, 5735, 3
[  658] 0, 185999, 3
[ 1024] 0, 147677, 3
[  265] 0, 142562, 3
[ 1040] 0, 4450, 3
[ 1206] 0, 31670, 3
[  580] 0, 5771, 3
[  375] 0, 184274, 3
[ 1973] 0, 5774, 3
[  521] 0, 8527, 3
[  572] 0, 186052, 3
[  950] 0, 186038, 3
[ 1050] 0, 185202, 3
[ 1210] 0, 186048, 3
[ 1150] 0, 157151, 3
[   47] 0, 186069, 3
[ 1039] 0, 181096, 3
[   22] 0, 183737, 3
[  537] 0, 117767, 3
[  901] 0, 3200, 3
[ 1891] 0, 115665, 3
[  793] 0, 185998, 3
[  514] 0, 141322, 3
[  533] 0, 3207, 3
[ 1796] 0, 2536, 3
[ 1991] 0, 186025, 3
[  440] 0, 53520, 3
[  748] 0, 53524, 3
[ 1193] 0, 53532, 3
[ 1961] 0, 53535, 3
[  929] 0, 170126, 3
[ 1888] 0, 53540, 3
[ 1263] 0, 105901, 3
[ 1831] 0, 159335, 3
[  184] 0, 186089, 3
[  270] 0, 4118, 3
[  599] 0, 175808, 3
[ 1258] 0, 8453, 3
[  778] 0, 186115, 3
[  792] 0, 6943, 3
[  726] 0, 75809, 3
[ 1986] 0, 100799, 3
[  478] 0, 100858, 3
[  700] 0, 186146, 3
[ 1833] 0, 62051, 3
[  329] 0, 186134, 3
[  750] 0, 186119, 3
[  939] 0, 67930, 3
[   45] 0, 47416, 3
[  297] 0, 11579, 3
[ 1333] 0, 186037, 3
[  532] 0, 186117, 3
[  893] 0, 186151, 3
[  441] 0, 20928, 3
[ 1588] 0, 4620, 3
[ 1510] 0, 186100, 3
[ 1301] 0, 186081, 3
[ 1971] 0, 186059, 3
[  832] 0, 6939, 3
[  129] 0, 50763, 3
[ 1676] 0, 50811, 3
[  306] 0, 2066, 3
[  931] 0, 2067, 3
[ 1844] 0, 8392, 3
[  678] 0, 8393, 3
[ 1118] 0, 186142, 3
[ 1956] 0, 21649, 3
[ 1972] 0, 21650, 3
[  765] 0, 44475, 3
[ 1001] 0, 32543, 3
[  653] 0, 65443, 3
[ 1367] 0, 759, 3
[  424] 0, 760, 3
[ 1578] 0, 32537, 3
[ 1901] 0, 26463, 3
[ 1041] 0, 761, 3
[ 1318] 0, 762, 3
[  189] 0, 153729, 3
[  545] 0, 662, 3
[ 1020] 0, 690, 3
[    7] 0, 99310, 3
[ 1426] 0, 186201, 3
[ 1858] 0, 186203, 3
[ 1052] 0, 155783, 3
[ 1616] 0, 186204, 3
[ 1125] 0, 186174, 3
[ 1368] 0, 186160, 3
[  534] 0, 651, 3
[  866] 0, 97561, 3
